Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009018,1889,01,17.5,Y
IDCJAC0001,009018,1889,02,4.6,Y
IDCJAC0001,009018,1889,03,17.3,Y
IDCJAC0001,009018,1889,04,46.2,Y
IDCJAC0001,009018,1889,05,151.9,Y
IDCJAC0001,009018,1889,06,173.7,Y
IDCJAC0001,009018,1889,07,70.9,Y
IDCJAC0001,009018,1889,08,83.6,Y
IDCJAC0001,009018,1889,09,96.3,Y
IDCJAC0001,009018,1889,10,106.7,Y
IDCJAC0001,009018,1889,11,22.9,Y
IDCJAC0001,009018,1889,12,1.5,Y
IDCJAC0001,009018,1890,01,14.0,Y
IDCJAC0001,009018,1890,02,33.3,Y
IDCJAC0001,009018,1890,03,0.5,Y
IDCJAC0001,009018,1890,04,12.4,Y
IDCJAC0001,009018,1890,05,88.4,Y
IDCJAC0001,009018,1890,06,146.8,Y
IDCJAC0001,009018,1890,07,90.7,Y
IDCJAC0001,009018,1890,08,146.3,Y
IDCJAC0001,009018,1890,09,60.7,Y
IDCJAC0001,009018,1890,10,101.6,Y
IDCJAC0001,009018,1890,11,1.0,Y
IDCJAC0001,009018,1890,12,11.7,Y
IDCJAC0001,009018,1891,01,1.5,Y
IDCJAC0001,009018,1891,02,0.0,Y
IDCJAC0001,009018,1891,03,27.9,Y
IDCJAC0001,009018,1891,04,1.0,Y
IDCJAC0001,009018,1891,05,106.2,Y
IDCJAC0001,009018,1891,06,117.1,Y
IDCJAC0001,009018,1891,07,86.9,Y
IDCJAC0001,009018,1891,08,61.5,Y
IDCJAC0001,009018,1891,09,77.0,Y
IDCJAC0001,009018,1891,10,15.5,Y
IDCJAC0001,009018,1891,11,0.0,Y
IDCJAC0001,009018,1891,12,2.0,Y
IDCJAC0001,009018,1892,01,0.0,Y
IDCJAC0001,009018,1892,02,1.5,Y
IDCJAC0001,009018,1892,03,34.5,Y
IDCJAC0001,009018,1892,04,34.3,Y
IDCJAC0001,009018,1892,05,85.3,Y
IDCJAC0001,009018,1892,06,76.5,Y
IDCJAC0001,009018,1892,07,97.0,Y
IDCJAC0001,009018,1892,08,169.9,Y
IDCJAC0001,009018,1892,09,56.4,Y
IDCJAC0001,009018,1892,10,16.5,Y
IDCJAC0001,009018,1892,11,11.4,Y
IDCJAC0001,009018,1892,12,0.0,Y
IDCJAC0001,009018,1893,01,0.0,Y
IDCJAC0001,009018,1893,02,3.8,Y
IDCJAC0001,009018,1893,03,46.2,Y
IDCJAC0001,009018,1893,04,73.4,Y
IDCJAC0001,009018,1893,05,201.2,Y
IDCJAC0001,009018,1893,06,52.8,Y
IDCJAC0001,009018,1893,07,158.8,Y
IDCJAC0001,009018,1893,08,86.4,Y
IDCJAC0001,009018,1893,09,100.1,Y
IDCJAC0001,009018,1893,10,47.2,Y
IDCJAC0001,009018,1893,11,20.3,Y
IDCJAC0001,009018,1893,12,8.4,Y
IDCJAC0001,009018,1894,01,0.0,Y
IDCJAC0001,009018,1894,02,6.9,Y
IDCJAC0001,009018,1894,03,1.0,Y
IDCJAC0001,009018,1894,04,2.8,Y
IDCJAC0001,009018,1894,05,105.9,Y
IDCJAC0001,009018,1894,06,120.7,Y
IDCJAC0001,009018,1894,07,80.5,Y
IDCJAC0001,009018,1894,08,97.3,Y
IDCJAC0001,009018,1894,09,59.4,Y
IDCJAC0001,009018,1894,10,14.5,Y
IDCJAC0001,009018,1894,11,0.8,Y
IDCJAC0001,009018,1894,12,23.1,Y
IDCJAC0001,009018,1895,01,3.8,Y
IDCJAC0001,009018,1895,02,21.8,Y
IDCJAC0001,009018,1895,03,0.0,Y
IDCJAC0001,009018,1895,04,33.3,Y
IDCJAC0001,009018,1895,05,42.9,Y
IDCJAC0001,009018,1895,06,173.2,Y
IDCJAC0001,009018,1895,07,158.0,Y
IDCJAC0001,009018,1895,08,181.4,Y
IDCJAC0001,009018,1895,09,102.4,Y
IDCJAC0001,009018,1895,10,18.3,Y
IDCJAC0001,009018,1895,11,4.8,Y
IDCJAC0001,009018,1895,12,9.7,Y
IDCJAC0001,009018,1896,01,2.3,Y
IDCJAC0001,009018,1896,02,0.0,Y
IDCJAC0001,009018,1896,03,84.1,Y
IDCJAC0001,009018,1896,04,11.4,Y
IDCJAC0001,009018,1896,05,56.6,Y
IDCJAC0001,009018,1896,06,159.0,Y
IDCJAC0001,009018,1896,07,243.8,Y
IDCJAC0001,009018,1896,08,46.2,Y
IDCJAC0001,009018,1896,09,6.9,Y
IDCJAC0001,009018,1896,10,24.6,Y
IDCJAC0001,009018,1896,11,7.6,Y
IDCJAC0001,009018,1896,12,5.6,Y
IDCJAC0001,009018,1897,01,6.6,Y
IDCJAC0001,009018,1897,02,11.4,Y
IDCJAC0001,009018,1897,03,25.7,Y
IDCJAC0001,009018,1897,04,20.8,Y
IDCJAC0001,009018,1897,05,130.0,Y
IDCJAC0001,009018,1897,06,106.7,Y
IDCJAC0001,009018,1897,07,112.5,Y
IDCJAC0001,009018,1897,08,101.9,Y
IDCJAC0001,009018,1897,09,19.3,Y
IDCJAC0001,009018,1897,10,10.4,Y
IDCJAC0001,009018,1897,11,5.8,Y
IDCJAC0001,009018,1897,12,0.0,Y
IDCJAC0001,009018,1898,01,5.6,Y
IDCJAC0001,009018,1898,02,13.7,Y
IDCJAC0001,009018,1898,03,0.0,Y
IDCJAC0001,009018,1898,04,17.5,Y
IDCJAC0001,009018,1898,05,126.0,Y
IDCJAC0001,009018,1898,06,188.2,Y
IDCJAC0001,009018,1898,07,116.3,Y
IDCJAC0001,009018,1898,08,227.6,Y
IDCJAC0001,009018,1898,09,62.2,Y
IDCJAC0001,009018,1898,10,113.0,Y
IDCJAC0001,009018,1898,11,7.4,Y
IDCJAC0001,009018,1898,12,1.8,Y
IDCJAC0001,009018,1899,01,0.0,Y
IDCJAC0001,009018,1899,02,6.9,Y
IDCJAC0001,009018,1899,03,2.8,Y
IDCJAC0001,009018,1899,04,41.1,Y
IDCJAC0001,009018,1899,05,105.7,Y
IDCJAC0001,009018,1899,06,218.7,Y
IDCJAC0001,009018,1899,07,194.6,Y
IDCJAC0001,009018,1899,08,82.8,Y
IDCJAC0001,009018,1899,09,55.9,Y
IDCJAC0001,009018,1899,10,127.0,Y
IDCJAC0001,009018,1899,11,42.7,Y
IDCJAC0001,009018,1899,12,0.0,Y
IDCJAC0001,009018,1900,01,35.1,Y
IDCJAC0001,009018,1900,02,0.0,Y
IDCJAC0001,009018,1900,03,3.6,Y
IDCJAC0001,009018,1900,04,34.8,Y
IDCJAC0001,009018,1900,05,115.6,Y
IDCJAC0001,009018,1900,06,315.5,Y
IDCJAC0001,009018,1900,07,129.0,Y
IDCJAC0001,009018,1900,08,261.6,Y
IDCJAC0001,009018,1900,09,116.8,Y
IDCJAC0001,009018,1900,10,50.5,Y
IDCJAC0001,009018,1900,11,8.6,Y
IDCJAC0001,009018,1900,12,19.3,Y
IDCJAC0001,009018,1901,01,3.8,Y
IDCJAC0001,009018,1901,02,2.8,Y
IDCJAC0001,009018,1901,03,46.5,Y
IDCJAC0001,009018,1901,04,3.8,Y
IDCJAC0001,009018,1901,05,183.1,Y
IDCJAC0001,009018,1901,06,137.7,Y
IDCJAC0001,009018,1901,07,204.0,Y
IDCJAC0001,009018,1901,08,171.2,Y
IDCJAC0001,009018,1901,09,67.8,Y
IDCJAC0001,009018,1901,10,40.9,Y
IDCJAC0001,009018,1901,11,21.1,Y
IDCJAC0001,009018,1901,12,16.8,Y
IDCJAC0001,009018,1902,01,0.0,Y
IDCJAC0001,009018,1902,02,0.0,Y
IDCJAC0001,009018,1902,03,0.0,Y
IDCJAC0001,009018,1902,04,0.8,Y
IDCJAC0001,009018,1902,05,123.7,Y
IDCJAC0001,009018,1902,06,84.1,Y
IDCJAC0001,009018,1902,07,275.3,Y
IDCJAC0001,009018,1902,08,24.6,Y
IDCJAC0001,009018,1902,09,128.8,Y
IDCJAC0001,009018,1902,10,18.5,Y
IDCJAC0001,009018,1902,11,1.8,Y
IDCJAC0001,009018,1902,12,8.9,Y
IDCJAC0001,009018,1903,01,0.0,Y
IDCJAC0001,009018,1903,02,3.0,Y
IDCJAC0001,009018,1903,03,3.0,Y
IDCJAC0001,009018,1903,04,36.1,Y
IDCJAC0001,009018,1903,05,42.2,Y
IDCJAC0001,009018,1903,06,174.8,Y
IDCJAC0001,009018,1903,07,157.2,Y
IDCJAC0001,009018,1903,08,216.7,Y
IDCJAC0001,009018,1903,09,221.7,Y
IDCJAC0001,009018,1903,10,78.7,Y
IDCJAC0001,009018,1903,11,7.1,Y
IDCJAC0001,009018,1903,12,3.0,Y
IDCJAC0001,009018,1904,01,0.0,Y
IDCJAC0001,009018,1904,02,2.0,Y
IDCJAC0001,009018,1904,03,32.5,Y
IDCJAC0001,009018,1904,04,30.7,Y
IDCJAC0001,009018,1904,05,88.1,Y
IDCJAC0001,009018,1904,06,222.0,Y
IDCJAC0001,009018,1904,07,161.5,Y
IDCJAC0001,009018,1904,08,150.4,Y
IDCJAC0001,009018,1904,09,56.1,Y
IDCJAC0001,009018,1904,10,100.6,Y
IDCJAC0001,009018,1904,11,19.6,Y
IDCJAC0001,009018,1904,12,22.1,Y
IDCJAC0001,009018,1905,01,2.0,Y
IDCJAC0001,009018,1905,02,0.3,Y
IDCJAC0001,009018,1905,03,0.3,Y
IDCJAC0001,009018,1905,04,32.0,Y
IDCJAC0001,009018,1905,05,201.4,Y
IDCJAC0001,009018,1905,06,90.9,Y
IDCJAC0001,009018,1905,07,271.3,Y
IDCJAC0001,009018,1905,08,133.6,Y
IDCJAC0001,009018,1905,09,149.6,Y
IDCJAC0001,009018,1905,10,15.7,Y
IDCJAC0001,009018,1905,11,10.7,Y
IDCJAC0001,009018,1905,12,34.5,Y
IDCJAC0001,009018,1906,01,10.9,Y
IDCJAC0001,009018,1906,02,1.3,Y
IDCJAC0001,009018,1906,03,6.4,Y
IDCJAC0001,009018,1906,04,6.4,Y
IDCJAC0001,009018,1906,05,129.5,Y
IDCJAC0001,009018,1906,06,176.0,Y
IDCJAC0001,009018,1906,07,181.9,Y
IDCJAC0001,009018,1906,08,91.9,Y
IDCJAC0001,009018,1906,09,100.8,Y
IDCJAC0001,009018,1906,10,46.5,Y
IDCJAC0001,009018,1906,11,31.0,Y
IDCJAC0001,009018,1906,12,0.0,Y
IDCJAC0001,009018,1907,01,10.4,Y
IDCJAC0001,009018,1907,02,10.0,Y
IDCJAC0001,009018,1907,03,25.8,Y
IDCJAC0001,009018,1907,04,11.2,Y
IDCJAC0001,009018,1907,05,143.6,Y
IDCJAC0001,009018,1907,06,216.0,Y
IDCJAC0001,009018,1907,07,190.9,Y
IDCJAC0001,009018,1907,08,140.6,Y
IDCJAC0001,009018,1907,09,85.8,Y
IDCJAC0001,009018,1907,10,43.0,Y
IDCJAC0001,009018,1907,11,4.6,Y
IDCJAC0001,009018,1907,12,1.3,Y
IDCJAC0001,009018,1908,01,5.8,Y
IDCJAC0001,009018,1908,02,5.3,Y
IDCJAC0001,009018,1908,03,8.4,Y
IDCJAC0001,009018,1908,04,10.1,Y
IDCJAC0001,009018,1908,05,151.7,Y
IDCJAC0001,009018,1908,06,169.1,Y
IDCJAC0001,009018,1908,07,150.0,Y
IDCJAC0001,009018,1908,08,101.2,Y
IDCJAC0001,009018,1908,09,42.6,Y
IDCJAC0001,009018,1908,10,93.8,Y
IDCJAC0001,009018,1908,11,21.1,Y
IDCJAC0001,009018,1908,12,0.5,Y
IDCJAC0001,009018,1909,01,17.8,Y
IDCJAC0001,009018,1909,02,0.0,Y
IDCJAC0001,009018,1909,03,12.6,Y
IDCJAC0001,009018,1909,04,48.5,Y
IDCJAC0001,009018,1909,05,121.3,Y
IDCJAC0001,009018,1909,06,135.8,Y
IDCJAC0001,009018,1909,07,74.4,Y
IDCJAC0001,009018,1909,08,222.0,Y
IDCJAC0001,009018,1909,09,105.2,Y
IDCJAC0001,009018,1909,10,87.9,Y
IDCJAC0001,009018,1909,11,7.6,Y
IDCJAC0001,009018,1909,12,0.0,Y
IDCJAC0001,009018,1910,01,1.8,Y
IDCJAC0001,009018,1910,02,4.3,Y
IDCJAC0001,009018,1910,03,0.0,Y
IDCJAC0001,009018,1910,04,24.4,Y
IDCJAC0001,009018,1910,05,189.0,Y
IDCJAC0001,009018,1910,06,267.5,Y
IDCJAC0001,009018,1910,07,272.9,Y
IDCJAC0001,009018,1910,08,87.3,Y
IDCJAC0001,009018,1910,09,62.5,Y
IDCJAC0001,009018,1910,10,27.7,Y
IDCJAC0001,009018,1910,11,0.6,Y
IDCJAC0001,009018,1910,12,0.5,Y
